title,ingredients,instructions,cook_time,servings,source,url
Mutabbaq,500g Mincemeat | 1.5 tbs minced Garlic | 1.5 tbs minced Ginger | 1 Egg | 1 large Tomato | 4 Spring Onions | 12 Filo Pastry | 1 1/2 cups Melted Butter | 1 tsp Salt | 1 tsp Paprika | 1 tsp Cumin | 1 tsp Allspice | 1 tsp Turmeric | 1 tsp Black Pepper | 1 tsp Sugar,"1 Heat the frying pan and add in some oil. Fry the mashed garlic and ginger first and then add in the minced meat and all seasoning. When the meat is cooked, set aside to cool down. 2 Get another big bowl. Add in egg, chopped tomato, chopped spring onion and minced meat. 3 Get one 2 sheets of filo pastry or 1 sheet spring roll wrap. Brush it with some butter and then put some filling in the middle. Fold the pastry and brush more butter on the seal part. 4 Heat a frying pan and add in some",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/i5o2b61763739053.jpg
Osso Buco alla Milanese,4 meaty shanks Veal | ½ cup Flour | 2 tablespoons Olive Oil | 3 tablespoons Butter | 1 medium chopped into ½-inch pieces Onion | 1 chopped into ½-inch pieces Carrots | 1 chopped into ½-inch pieces Celery | 1 bulb chopped into ½-inch pieces Fennel | 3 cloves Garlic | 2 strips Orange Zest | 1 ½ teaspoons Marjoram | 1 Bay Leaf | 1 cup Dry White Wine | ½ cup Chicken Stock | 1 cup chopped with juice Tomatoes | 2 tablespoons chopped Parsley | 1 teaspoon minced Garlic | 1 teaspoon grated Lemon Zest,"Heat the oven to 300 degrees. Dredging the shanks: pour the flour into a shallow dish (a pie plate works nicely). Season the veal shanks on all sides with salt and pepper. One at a time, roll the shanks around in the flour coat, and shake and pat the shank to remove any excuses flour. Discard the remaining flour. Browning the shanks: put the oil and 1 tablespoon of the butter in a wide Dutch oven or heavy braising pot (6 to 7 quart) and heat over medium-high heat. When the butter has melted an",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/wwuqvt1487345467.jpg
Chilli prawn linguine,280g Linguine Pasta | 200g Sugar Snap Peas | 2 tblsp Olive Oil | 2 cloves chopped Garlic Clove | 1 large Red Chilli | 24 Skinned King Prawns | 12 Cherry Tomatoes | Handful Basil Leaves | Leaves Lettuce | to serve Bread | 2 tbsp Fromage Frais | Grated Zest of 2 Lime | 2 tsp Caster Sugar,"Mix the dressing ingredients in a small bowl and season with salt and pepper. Set aside. Cook the pasta according to the packet instructions. Add the sugar snap peas for the last minute or so of cooking time. Meanwhile, heat the oil in a wok or large frying pan, toss in the garlic and chilli and cook over a fairly gentle heat for about 30 seconds without letting the garlic brown. Tip in the prawns and cook over a high heat, stirring frequently, for about 3 minutes until they turn pink.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/usywpp1511189717.jpg
Fettuccine Alfredo,1 lb Fettuccine | 1/2 cup Heavy Cream | 1/2 cup Butter | 1/2 cup Parmesan | 2 tbsp Parsley | Black Pepper,"Cook pasta according to package instructions in a large pot of boiling water and salt. Add heavy cream and butter to a large skillet over medium heat until the cream bubbles and the butter melts. Whisk in parmesan and add seasoning (salt and black pepper). Let the sauce thicken slightly and then add the pasta and toss until coated in sauce. Garnish with parsley, and it's ready.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/0jv5gx1661040802.jpg
Fettucine alfredo,227g Clotted Cream | 25g Butter | 1 tsp Corn Flour | 100g Parmesan Cheese | Grated Nutmeg | 250g Fettuccine | Chopped Parsley,"In a medium saucepan, stir the clotted cream, butter and cornflour over a low-ish heat and bring to a low simmer. Turn off the heat and keep warm. Meanwhile, put the cheese and nutmeg in a small bowl and add a good grinding of black pepper, then stir everything together (don’t add any salt at this stage). Put the pasta in another pan with 2 tsp salt, pour over some boiling water and cook following pack instructions (usually 3-4 mins). When cooked, scoop some of the cooking water into a heatpro",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/uquqtu1511178042.jpg
Grilled Mac and Cheese Sandwich,8 ounces (230 grams) Macaroni | 1/3 cup Plain Flour | 3/4 teaspoon Mustard Powder | 1/2 teaspoon Garlic powder | 1/2 teaspoon Kosher salt | 1/2 teaspoon Black pepper | 1/8 teaspoon Cayenne pepper | 6 tablespoons (85 grams) Butter | 1 1/2 cups (360 milliliters) Whole Milk | 1 cup (240 milliliters) Heavy Cream | 1 pound (455 grams) Monterey Jack Cheese | 4 tablespoons (55 grams) Butter | 1 teaspoon garlic powder | 16 slices square Bread | 8 slices mild Cheddar Cheese | 8 slices Colby Jack Cheese | 4 tablespoons (55 grams) Butter,"Make the mac and cheese 1. Bring a medium saucepan of generously salted water (you want it to taste like seawater) to a boil. Add the pasta and cook, stirring occasionally, until al dente, 8 to 10 minutes, or according to the package directions. The pasta should be tender but still chewy. 2. While the pasta is cooking, in a small bowl, whisk together the flour, mustard powder, garlic powder, salt, black pepper, and cayenne pepper. 3. Drain the pasta in a colander. Place the empty pasta pan",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/xutquv1505330523.jpg
Lasagna Sandwiches,1/4 cup Sour Cream | 2 tbs Chopped Onion | 1/2 tbs Dried Oregano | 1/4 tsp Salt | 8 slices Bread | 8 slices Bacon | 8 slices Tomato | 4 slices Mozzarella | 2 1/2 Tbs Butter,"1. In a small bowl, combine the first four ingredients; spread on four slices of bread. Layer with bacon, tomato and cheese; top with remaining bread. 2. In a large skillet or griddle, melt 2 tablespoons butter. Toast sandwiches until lightly browned on both sides and cheese is melted, adding butter if necessary. Nutrition Facts 1 sandwich: 445 calories, 24g fat (12g saturated fat), 66mg cholesterol, 1094mg sodium, 35g carbohydrate (3g sugars, 2g fiber), 21g protein.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/xr0n4r1576788363.jpg
Lasagne,1 tblsp Olive Oil | 2 Bacon | 1 finely chopped Onion | 1 Stick Celery | 1 medium Carrots | 2 cloves chopped Garlic | 500g Minced Beef | 1 tbls Tomato Puree | 800g Chopped Tomatoes | 1 tblsp Honey | 500g Lasagne Sheets | 400ml Creme Fraiche | 125g Mozzarella Balls | 50g Parmesan Cheese | Topping Basil Leaves,"Heat the oil in a large saucepan. Use kitchen scissors to snip the bacon into small pieces, or use a sharp knife to chop it on a chopping board. Add the bacon to the pan and cook for just a few mins until starting to turn golden. Add the onion, celery and carrot, and cook over a medium heat for 5 mins, stirring occasionally, until softened. Add the garlic and cook for 1 min, then tip in the mince and cook, stirring and breaking it up with a wooden spoon, for about 6 mins until browned all over.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/wtsvxx1511296896.jpg
Pilchard puttanesca,300g Spaghetti | 1 tbls Olive Oil | 1 finely chopped Onion | 2 cloves minced Garlic | 1 Red Chilli | 1 tbls Tomato Puree | 425g Pilchards | 70g Black Olives | Shaved Parmesan,"Cook the pasta following pack instructions. Heat the oil in a non-stick frying pan and cook the onion, garlic and chilli for 3-4 mins to soften. Stir in the tomato purée and cook for 1 min, then add the pilchards with their sauce. Cook, breaking up the fish with a wooden spoon, then add the olives and continue to cook for a few more mins. Drain the pasta and add to the pan with 2-3 tbsp of the cooking water. Toss everything together well, then divide between plates and serve, scattered with P",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/vvtvtr1511180578.jpg
Spaghetti alla Carbonara,320g Spaghetti | 6 Egg Yolks | As required Salt | 150g Bacon | 50g Pecorino | As required Black Pepper,"STEP 1 Put a large saucepan of water on to boil. STEP 2 Finely chop the 100g pancetta, having first removed any rind. Finely grate 50g pecorino cheese and 50g parmesan and mix them together. STEP 3 Beat the 3 large eggs in a medium bowl and season with a little freshly grated black pepper. Set everything aside. STEP 4 Add 1 tsp salt to the boiling water, add 350g spaghetti and when the water comes back to the boil, cook at a constant simmer, covered, for 10 minutes or until al dente",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/llcbn01574260722.jpg
