title,ingredients,instructions,cook_time,servings,source,url
"Chickpea, chorizo & spinach stew",4 tablespoons Extra Virgin Olive Oil | 1 chopped Onion | 1 Diced Carrots | 1 Diced Celery | 3 Thyme | 2 Bay Leaves | 2 cloves chopped Garlic | 200g Chorizo | 1/4 tsp Cinnamon | 1 teaspoon Paprika | 800g Chickpeas | 2 tblsp Sherry vinegar | 400g Spinach,"step 1 Heat the oil in a large pan, then gently fry the onion for 3-4 mins until it begins to soften. Stir in the carrot, celery, thyme and bay leaves. Season, then cook for 2-3 mins, stirring occasionally. Add the garlic, chorizo, cinnamon and smoked paprika. Gently fry until the vegetables soften and the chorizo starts to release its oils and crisp up. step 2 Stir in the chickpeas, vinegar and 150ml water, then bring to a simmer for 1-2 mins until the chickpeas have heated up. Add the spi",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/xvnx8j1763287209.jpg
Choripán,4 Chorizo | 4 Crusty Bread | Drizzle Chimichurri sauce,"Grill the Chorizos: Cook the chorizos on a grill or pan until fully cooked, about 10-15 minutes. Prepare the Rolls: Slice the rolls and toast them lightly on the grill or in a pan. Assemble: Slice each chorizo lengthwise and place in a roll. Top with a generous amount of chimichurri sauce. Serve: Enjoy immediately while hot. Pro Tips: Grill the chorizo slowly on medium heat to prevent the skin from bursting and to ensure it cooks evenly throughout. Toast the bread on the grill to absorb",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/5i25sg1763075353.jpg
Arroz con gambas y calamar,24 Raw King Prawns | 2 tbsp Olive Oil | 1 small Onion | 1 Bay Leaf | 1 pinch Saffron | 450g Paella Rice | 2 teaspoons Tomato Puree | 200ml White Wine | 650ml Seafood stock | 3 Medium Squid,"step 1 Peel and devein most of the prawns (a fishmonger should be able to do this for you), keeping a few whole for decoration, if you like. Heat the olive oil in a large frying pan or shallow flameproof casserole over a medium-low heat and fry the onion for 5 mins until softened. Add the bay leaf, saffron, rice and tomato purée, and cook for 1-2 mins more, stirring. step 2 Pour in the wine and bubble for 1-2 mins, then pour in the seafood stock and 150ml water. Cook for 5 mins, then add th",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/jc6oub1763196663.jpg
Baked salmon with fennel & tomatoes,2 medium Fennel | 2 tbs chopped Parsley | Juice of 1 Lemon | 175g Cherry Tomatoes | 1 tbs Olive Oil | 350g Salmon | to serve Black Olives,"Heat oven to 180C/fan 160C/gas 4. Trim the fronds from the fennel and set aside. Cut the fennel bulbs in half, then cut each half into 3 wedges. Cook in boiling salted water for 10 mins, then drain well. Chop the fennel fronds roughly, then mix with the parsley and lemon zest. Spread the drained fennel over a shallow ovenproof dish, then add the tomatoes. Drizzle with olive oil, then bake for 10 mins. Nestle the salmon among the veg, sprinkle with lemon juice, then bake 15 mins more until the",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/1548772327.jpg
Bang bang prawn salad,140g Rice Noodles | 3 tablespoons Peanut Butter | 4 tablespoons Coconut Milk | 3 tablespoons sweet chilli sauce | 3 sliced thinly Spring Onions | 1 sliced Cucumber | 300g Bean Sprouts | 200g Prawns,"step 1 Cook the noodles following pack instructions, then rinse under cold water and drain thoroughly. In a small saucepan melt together the peanut butter, coconut milk, sweet chilli sauce and half the spring onions, adding 1-2 tbsp of water to loosen the mixture to a drizzling consistency. step 2 Mix the noodles, cucumber and beansprouts in a serving dish. Top with the prawns, drizzle over the peanut sauce and scatter over the remaining spring onions.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/4xcfai1763765676.jpg
Barramundi with Moroccan spices,2 x 400g barramundi | 1/2 teaspoon Ground Cumin | 1/2 tsp Coriander | Pinch Paprika | Pinch Chili Powder | 2 Garlic Clove | Juice of 1 Lemon | 5 tablespoons Olive Oil | Bunch Coriander,"step 1 Tip all the dressing ingredients into a food processor with a pinch of salt and blitz to a dressing. Slash the fish three times on each side, coat with half of the dressing, then set aside to marinate for about 30 mins. step 2 Heat oven to 220C/fan 200C/gas 7. Place the fish on a roasting tray, then cook in the oven for 20 mins until the flesh is firm and the eyes have turned white. Serve the fish with the rest of the dressing and steamed couscous or rice. step 3 KNOW HOW: HOW TO",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/4o4wh11761848573.jpg
Cajun spiced fish tacos,2 tbsp cajun | 1 tsp cayenne pepper | 4 fillets white fish | 1 tsp vegetable oil | 8 flour tortilla | 1 sliced avocado | 2 shredded little gem lettuce | 4 shredded Spring Onions | 1 x 300ml salsa | 1 pot sour cream | 1 lemon | 1 clove finely chopped garlic,"Cooking in a cajun spice and cayenne pepper marinade makes this fish super succulent and flavoursome. Top with a zesty dressing and serve in a tortilla for a quick, fuss-free main that's delightfully summery. On a large plate, mix the cajun spice and cayenne pepper with a little seasoning and use to coat the fish all over. Heat a little oil in a frying pan, add in the fish and cook over a medium heat until golden. Reduce the heat and continue frying until the fish is cooked through, about",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/uvuyxu1503067369.jpg
"Clam, chorizo & white bean stew",50g Chorizo | 1 chopped Onion | 1 Garlic Clove | Bunch Parsley | 200ml Vegetable Stock | 400g Tinned Tomatos | 400g Butter Beans | 1 teaspoon Sherry vinegar | 600g Clams | To serve Crusty Bread,"step 1 Fry the chorizo in a large frying pan with a lid, over a medium heat until it is starting to crisp up and release its oil. Add the onion and cook for 5 mins until starting to soften. Then add the garlic and finely chopped parsley, and fry for 1 min more. step 2 Pour on the stock and tomatoes. Bring to the boil, reduce the heat, then add the beans and sherry vinegar. Simmer for 10 mins until the liquid is slightly reduced. step 3 Scatter over the clams, cover with the lid and stea",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/92wbmf1763252334.jpg
Egg Foo Young,1 cup Unsalted Beef Stock | 1 tablespoon Soy Sauce | 1 tablespoon Shaoxing Wine | 1 tablespoon Oyster Sauce | 1/2 tsp Pepper | 1 tablespoon Cornstarch | 1 tablespoon Water | 1 tablespoon Cornstarch | 1 tablespoon Water | 8 large Egg | 1/2 tsp Kosher Salt | 1/4 tsp Sugar | 1 Spring Onions | 1 cup Mung Bean Sprouts | 20 Shrimp | 3 Cups Vegetable Oil | 2 cups Jasmine Rice,"Make the gravy: In a small saucepan, add the beef stock, soy sauce, Shaoxing wine, oyster sauce, and white pepper powder over medium heat. Whisk together and bring to a simmer. Combine the cornstarch and water in a small bowl and whisk to dissolve. Add to the saucepan and whisk until the gravy thickens and coats the back of the spoon, 2 to 3 minutes. Cover the saucepan with a lid and keep it warm on the lowest possible heat. Make the egg foo young batter: In a medium bowl, whisk togethe",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/47y6ii1765658818.jpg
Escovitch Fish,2 Pounds Red Snapper | 1/2 cup Vegetable Oil | 1 clove peeled crushed Garlic | 1/2 tsp Ginger | 2 sprigs Thyme | 1 Bay Leaf | 0.5 Red Pepper | 0.5 Yellow Pepper | 1 sliced Onion | 1 chopped Carrots | 1 tbs Sugar | 1/2 tsp Allspice | 1 tsp Worcestershire Sauce | 1 Scotch Bonnet | 1 Lime | 3/4 cup Malt Vinegar | pinch Pepper,"Rinse fish; rub with lemon or lime, seasoned with salt and pepper or use your favorite seasoning. I used creole seasoning. Set aside or place in the oven to keep it warm until sauce is ready. In large skillet heat oil over medium heat, until hot, add the fish, cook each side- for about 5-7 minutes until cooked through and crispy on both sides. Remove fish and set aside. Drain oil and leave about 2-3 tablespoons of oil Add, bay leave, garlic and ginger, stir-fry for about a minute making sure",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/1520084413.jpg
Fish fofos,600g Haddock | 300g Potatoes | 1 chopped Green Chilli | 3 tbs Coriander | 1 tsp Cumin Seeds | 1/2 tsp Pepper | 3 cloves Garlic | 2 pieces Ginger | 2 tbs Flour | 3 Eggs | 75g Breadcrumbs | For frying Vegetable Oil,"STEP 1 Put the fish into a lidded pan and pour over enough water to cover. Bring to a simmer and gently poach for 10 minutes over a low heat with the lid on. Drain and flake the fish. STEP 2 Put the fish, potato, green chilli, coriander, cumin, black pepper, garlic and ginger in a large bowl. Season, add the rice flour, mix well and break in 1 egg. Stir the mixture and divide into 15, then form into small logs. Break the remaining eggs into a bowl and whisk lightly. Put the breadcrumbs",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/a15wsa1614349126.jpg
Fish pie,900g Floury Potatoes | 2 tbsp Olive Oil | 600ml Semi-skimmed Milk | 800g White Fish Fillets | 1 tbsp Plain flour | Grating Nutmeg | 3 tbsp Double Cream | 200g Jerusalem Artichokes | 1 finely sliced Leek | 200g peeled raw Prawns | Large handful Parsley | Handful Dill | Grated zest of 1 Lemon | 25g grated Gruyère | Juice of 1 Lemon,"01.Put the potatoes in a large pan of cold salted water and bring to the boil. Lower the heat, cover, then simmer gently for 15 minutes until tender. Drain, then return to the pan over a low heat for 30 seconds to drive off any excess water. Mash with 1 tbsp olive oil, then season. 02.Meanwhile put the milk in a large sauté pan, add the fish and bring to the boil. Remove from the heat, cover and stand for 3 minutes. Remove the fish (reserving the milk) and pat dry with kitchen paper, then gentl",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/ysxwuq1487323065.jpg
Air Fryer Egg Rolls,1 tablespoon Olive Oil | 1 lb Ground Pork | 1 clove peeled crushed Garlic | 1 tablespoon Ginger | 1 medium Carrots | 3 chopped Scallions | 3 Cups Cabbage | 1 tablespoon Soy Sauce | 1 tablespoon Rice Vinegar | 12 Egg Roll Wrappers | For brushing Oil | To serve Duck Sauce | To serve Plum Sauce | To serve Soy Sauce,"Alternative Pan Fry Method: If you don’t have access to an air fryer, you can make these egg rolls using a traditional pan fry method. Add enough oil to a medium skillet with high walls so the oil is about 1/2 inch up the side of the skillet. Heat oil on medium high heat until it reaches 350°F. Add egg rolls and fry for 3 to 4 minutes, flip, and fry for another 3 to 4 minutes until golden brown. Remove and let them drain and cool on a few paper towels. Cook the filling: In a large skillet ov",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/grhn401765687086.jpg
Algerian Bouzgene Berber Bread with Roasted Pepper Sauce,2 Red Pepper | 4 Tomato | 1 tablespoon Olive Oil | 4 Cloves Chopped Garlic | 1 chopped Jalapeno | To taste Salt | 2 Lbs Semolina | 1 1/2 tsp Salt | 3 Cups Water | 4 tablespoons Olive Oil | 6 tablespoons Olive Oil,"Preheat your oven's broiler. Place red bell peppers and tomatoes on a baking sheet, and roast under the broiler for about 8 minutes, turning occasionally. This should blacken the skin and help it peel off more easily. Cool, then scrape the skins off of the tomatoes and peppers, and place them in a large bowl. Remove cores and seeds from the bell peppers. Heat 1 tablespoon of olive oil in a skillet over medium heat. Add the jalapenos and garlic, and cook until tender, stirring frequently. Remo",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/se5vhk1764114880.jpg
Algerian Carrots,1 1/2 cup Water | 2 Lbs Carrots | 5 tablespoons Olive Oil | 1 tsp Salt | 1/2 teaspoon Black Pepper | 1/2 teaspoon Ground Cinnamon | 1/2 teaspoon Ground Cumin | 3 Cloves Crushed Garlic | 1/2 teaspoon Thyme | 1 Bay Leaf | 1 tsp Lemon Juice,"Place a steamer insert into a saucepan, and fill with 1 1/2 cups of water, or just below the bottom of the steamer. Cover, and bring the water to a boil over high heat. Add the sliced carrots, reduce the heat to medium, and cover the pan again. Steam until tender but not mushy, 4 to 6 minutes depending on the thickness of the slices. Reserve 1/2 cup of the cooking liquid. Heat the olive oil in a skillet over medium heat. Reduce the heat to low and stir in the salt, pepper, cinnamon, cumin, ga",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/o2cd4r1764113576.jpg
Baba Ghanoush,4 large Egg Plants | 2 cloves Garlic | 2 teaspoons Kosher Salt | 1 Lemon | 3 tablespoons Tahini | 3 tablespoons Extra Virgin Olive Oil | 2 tablespoons Greek Yogurt | 1 pinch Cayenne Pepper | 1 Leaf Mint | 2 tablespoons Parsley,"Preheat an outdoor grill for medium-high heat and lightly oil the grate. Prick the surface of the skin of eggplants several times with the tip of a knife. Place eggplants directly on grill. Turn frequently with tongs while skin chars. Cook until eggplants have collapsed and are very soft, 25 to 30 minutes. Transfer to a bowl and cover tightly with aluminum foil and allow to cool, about 15 minutes. When eggplants are cool enough to handle, split them in half and scrape flesh into a colander",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/dlmh401760524897.jpg
Blini Pancakes,1/2 cup Buckwheat | 2/3 Cup Flour | 1/2 tsp Salt | 1 tsp Yeast | 1 cup Milk | 2 tbs Butter | 1 Seperated Egg,"In a large bowl, whisk together 1/2 cup buckwheat flour, 2/3 cup all-purpose flour, 1/2 teaspoon salt, and 1 teaspoon yeast. Make a well in the center and pour in 1 cup warm milk, whisking until the batter is smooth. Cover the bowl and let the batter rise until doubled, about 1 hour. Enrich and Rest the Batter Stir 2 tablespoons melted butter and 1 egg yolk into the batter. In a separate bowl, whisk 1 egg white until stiff, but not dry. Fold the whisked egg white into the batter.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/0206h11699013358.jpg
Boulangère Potatoes,2 finely chopped Onions | sprigs of fresh Thyme | 2 tbs Olive Oil | 1.5kg Potatoes | 425g Vegetable Stock,"Heat oven to 200C/fan 180C/gas 6. Fry the onions and thyme sprigs in the oil until softened and lightly coloured (about 5 mins). Spread a layer of potatoes over the base of a 1.5-litre oiled gratin dish. Sprinkle over a few onions (see picture, above) and continue layering, finishing with a layer of potatoes. Pour over the stock and bake for 50-60 mins until the potatoes are cooked and the top is golden and crisp.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/qywups1511796761.jpg
Brie wrapped in prosciutto & brioche,375g Plain Flour | 50g Caster Sugar | 7g Yeast | 75g Milk | 3 Large Eggs | To Glaze Eggs | 180g Butter | 250g Brie | 8 slices Prosciutto,"Mix the flour, 1 tsp salt, caster sugar, yeast, milk and eggs together in a mixer using the dough attachment for 5 mins until the dough is smooth. Add the butter and mix for a further 4 mins on medium speed. Scrape the dough bowl and mix again for 1 min. Place the dough in a container, cover with cling film and leave in the fridge for at least 6 hrs before using. Wrap the Brie in the prosciutto and set aside. Turn out the dough onto a lightly floured surface. Roll into a 25cm circle. Place the",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/qqpwsy1511796276.jpg
Burek,1 Packet Filo Pastry | 150g Minced Beef | 150g Onion | 40g Oil | Dash Salt | Dash Pepper,"Fry the finely chopped onions and minced meat in oil. Add the salt and pepper. Grease a round baking tray and put a layer of pastry in it. Cover with a thin layer of filling and cover this with another layer of filo pastry which must be well coated in oil. Put another layer of filling and cover with pastry. When you have five or six layers, cover with filo pastry, bake at 200ºC/392ºF for half an hour and cut in quarters and serve.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/tkxquw1628771028.jpg
Cacik,500g Natural Yoghurt | 2 tsp Lemon Juice | 1 tablespoon Extra Virgin Olive Oil | 1 tablespoon Dried Mint | 1 Cucumber | 2 cloves minced Garlic,"step 1 Put a sieve over a large bowl, line it with a thick sheet of non-dyed kitchen paper or a clean muslin cloth, and spoon in the yogurt. Cover with another sheet of kitchen paper and leave to strain in the fridge for a minimum of 12 hrs. step 2 Add the lemon juice, most of the olive oil and the dried mint to a bowl and stir well for the dried mint to soften and soak up the juices. Mix in the strained yogurt, then pour away the strained yogurt liquid and leave that bowl to one side. s",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/16zbeu1763789342.jpg
Callaloo and SaltFish,1/2 lb Salt Cod | 4 Bacon | 525g Callaloo | 1 chopped Onion | 2 chopped Spring Onions | 2 cloves minced Garlic | 1 chopped Scotch Bonnet | 2 chopped Plum Tomatoes | 2 sprigs Thyme | 1/4 tsp Black Pepper,"Soak salted fish in water overnight. Next, heat salted fish in water on stove until water boils. You should see a foam on top. Remove from heat and drain. Set aside and shred salted fish once it cools. Cook bacon in skillet over medium heat until crispy. Remove bacon from heat and drain the majority of the bacon grease, leaving about 1 tablespoon in the skillet. Add yellow onion, green onion, scotch bonnet pepper, and garlic to the skillet and stir. Cook for about 2 minutes or until onions so",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/73o3vq1765317873.jpg
Ajo blanco,150g White bread | 200g Almonds | 50 ml Extra Virgin Olive Oil | 1 Garlic Clove | 1 ½ tbsp Red Wine Vinegar,"step 1 Tip the bread into a bowl and pour over 350ml water. Leave to soak for 10 mins. step 2 Blend the ingredients together with 350ml water and 1 tsp salt. step 3 Let the soup cool in the fridge for 1 hr or so, then serve with a drizzle of oil and some black pepper.",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/5jdtie1763289302.jpg
Broccoli & Stilton soup,2 tblsp Rapeseed Oil | 1 finely chopped Onion | 1 Celery | 1 sliced Leek | 1 medium Potatoes | 1 knob Butter | 1 litre hot Vegetable Stock | 1 Head chopped Broccoli | 140g Stilton Cheese,"Heat the rapeseed oil in a large saucepan and then add the onions. Cook on a medium heat until soft. Add a splash of water if the onions start to catch. Add the celery, leek, potato and a knob of butter. Stir until melted, then cover with a lid. Allow to sweat for 5 minutes. Remove the lid. Pour in the stock and add any chunky bits of broccoli stalk. Cook for 10 – 15 minutes until all the vegetables are soft. Add the rest of the broccoli and cook for a further 5 minutes. Carefully trans",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/tvvxpv1511191952.jpg
Clam chowder,1½ kg Clams | 50g Butter | 150g Bacon | 1 finely chopped Onion | sprigs of fresh Thyme | 1 Bay Leaf | 1 tbls Plain Flour | 150ml Milk | 150ml Double Cream | 2 medium Potatoes | Chopped Parsley,"Rinse the clams in several changes of cold water and drain well. Tip the clams into a large pan with 500ml of water. Cover, bring to the boil and simmer for 2 mins until the clams have just opened. Tip the contents of the pan into a colander over a bowl to catch the clam stock. When cool enough to handle, remove the clams from their shells – reserving a handful of empty shells for presentation if you want. Strain the clam stock into a jug, leaving any grit in the bottom of the bowl. You should h",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/rvtvuw1511190488.jpg
Cream Cheese Tart,250g Flour | 125g Butter | 1 Egg | Pinch Salt | 300g Cheese | 100ml milk Milk | 3 Eggs | 100g Parmesan Cheese | 350g Plum tomatoes | 3tbsp White Vinegar | 1 tbsp Honey | Topping Basil,"Crust: make a dough from 250g flour (I like mixing different flours like plain and wholegrain spelt flour), 125g butter, 1 egg and a pinch of salt, press it into a tart form and place it in the fridge. Filling: stir 300g cream cheese and 100ml milk until smooth, add in 3 eggs, 100g grated parmesan cheese and season with salt, pepper and nutmeg. Take the crust out of the fridge and prick the bottom with a fork. Pour in the filling and bake at 175 degrees C for about 25 minutes. Cover the tart wit",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/wurrux1468416624.jpg
Creamy Tomato Soup,3 tbsp Olive Oil | 2 chopped Onions | 2 sticks Celery | 300g Carrots | 500g Potatoes | 4 Bay Leaf | 5 tblsp Tomato Puree | 2 tblsp Sugar | 2 tblsp White Vinegar | 1½ kg Chopped Tomatoes | 500g Passata | 3 Vegetable Stock Cube | 400ml Whole Milk,"Put the oil, onions, celery, carrots, potatoes and bay leaves in a big casserole dish, or two saucepans. Fry gently until the onions are softened – about 10-15 mins. Fill the kettle and boil it. Stir in the tomato purée, sugar, vinegar, chopped tomatoes and passata, then crumble in the stock cubes. Add 1 litre boiling water and bring to a simmer. Cover and simmer for 15 mins until the potato is tender, then remove the bay leaves. Purée with a stick blender (or ladle into a blender in batches) u",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/stpuws1511191310.jpg
Quick gazpacho,250g Passata | 1 chopped Red Pepper | 1 chopped Red Chilli | 1 clove peeled crushed Garlic | 1 teaspoon Sherry vinegar | Juice of 1/2 Lime,"step 1 In a blender (or with a stick blender), whizz together the passata, red pepper, chilli, garlic, sherry vinegar and lime juice until smooth. Season to taste, then serve with ice cubes",N/A,N/A,TheMealDB,https://www.themealdb.com/images/media/meals/h5qmn31763304965.jpg
